task,state_id,n_csv,n_live,n_frozen,count_ok,step_mismatches,abstain_mismatches,feat_mismatches,max_feat_diff,score_mismatches,max_score_diff,emit_match,live_emit,frozen_emit
salad_dressing,29,2,2,2,True,0,0,0,1.000000000001e-06,1,1.5999999999988246e-05,True,57,57
salad_dressing,32,2,2,2,True,0,0,0,4.4011116027831815e-09,0,0.0,True,62,62
salad_dressing,45,2,2,2,True,0,0,0,1.0000000000001327e-06,1,5.999999999999062e-06,True,-1,-1
salad_dressing,48,3,3,3,True,0,0,0,1.000000000001e-06,2,9.999999999999593e-06,True,68,68
tomato_sauce,2,2,2,2,True,0,0,0,9.999999999999972e-07,1,6.0000000000060005e-06,True,97,97
tomato_sauce,18,9,9,9,True,0,0,0,1.0000000000001327e-06,4,3.0000000000030003e-06,True,70,70
tomato_sauce,19,3,3,3,True,0,0,1,2.0000000000002655e-06,2,1.5000000000001124e-05,True,53,53
tomato_sauce,23,2,2,2,True,0,0,0,1.99999999999994e-06,2,1.0000000000010001e-05,True,69,69
tomato_sauce,24,13,13,13,True,0,0,1,2.0000000000000486e-06,9,2.4000000000010124e-05,True,39,39
tomato_sauce,26,2,2,2,True,0,0,0,1.000000000001e-06,1,1.4000000000014001e-05,True,56,56
tomato_sauce,29,7,7,7,True,0,0,0,1.000000000001e-06,4,1.1000000000004062e-05,True,44,44
tomato_sauce,34,7,7,7,True,0,0,0,1.000000000001e-06,6,9.999999999999593e-06,True,186,186
tomato_sauce,36,7,7,7,True,0,0,0,1.0000000000001327e-06,1,3.0000000000030003e-06,True,65,65
tomato_sauce,45,8,8,8,True,0,0,0,1.9999999999999944e-06,3,1.4000000000000123e-05,True,106,106
tomato_sauce,47,1,1,1,True,0,0,0,1.5563488006491676e-09,0,0.0,True,75,75
tomato_sauce,49,9,9,9,True,0,0,0,1.000000000001e-06,6,2.1000000000007124e-05,True,78,78
alphabet_soup,11,6,6,6,True,0,0,0,1.000000000001e-06,3,8.000000000008e-06,True,56,56
alphabet_soup,34,36,36,36,True,0,0,0,1.9999999999999944e-06,15,1.4000000000000123e-05,True,54,54
alphabet_soup,7,3,3,3,True,0,0,0,1.000000000001e-06,2,1.0999999999983245e-05,True,90,90
bbq_sauce,2,29,29,29,True,0,0,0,1.000000000001e-06,15,2.0999999999993246e-05,True,49,49
bbq_sauce,31,1,1,1,True,0,0,0,1.000000000001e-06,1,6.0000000000060005e-06,True,229,229
bbq_sauce,36,3,3,3,True,0,0,0,1.000000000001e-06,2,9.000000000009e-06,True,49,49
bbq_sauce,48,7,7,7,True,0,0,0,1.0000000000001327e-06,5,2.1000000000007124e-05,True,38,38
butter,31,2,2,2,True,0,0,0,1.9999999999998318e-06,2,8.000000000008e-06,True,63,63
butter,49,7,7,7,True,0,0,0,1.0000000000001327e-06,2,8.000000000008e-06,True,53,53
butter,9,8,8,8,True,0,0,0,1.9999999999998318e-06,3,5.0000000000050004e-06,True,8,8
chocolate_pudding,15,2,2,2,True,0,0,0,1.000000000001e-06,2,8.999999999981245e-06,True,52,52
chocolate_pudding,27,24,24,24,True,0,0,0,1.000000000001e-06,19,1.0000000000003062e-05,True,62,62
chocolate_pudding,7,12,12,12,True,0,0,0,1.0000000000001327e-06,4,1.2999999999999998e-05,True,49,49
cream_cheese,12,4,4,4,True,0,0,0,1.000000000001e-06,4,1.5999999999988246e-05,True,66,66
cream_cheese,17,4,4,4,True,0,0,1,2.0000000000002655e-06,2,1.6000000000002124e-05,True,62,62
cream_cheese,30,6,6,6,True,0,0,0,1.000000000001e-06,1,1.9999999999992246e-05,True,49,49
ketchup,16,1,1,1,True,0,0,0,1.0000000000001327e-06,1,2.000000000002e-06,True,-1,-1
ketchup,29,32,32,32,True,0,0,1,2.0000000000002655e-06,15,1.4000000000000123e-05,True,48,48
ketchup,8,9,9,9,True,0,0,0,1.000000000001e-06,6,2.0999999999993246e-05,True,5,5
milk,0,4,4,4,True,0,0,1,2.0000000000002655e-06,4,2.2000000000001185e-05,True,50,50
milk,18,5,5,5,True,0,0,0,1.000000000001e-06,2,7.000000000034756e-06,True,49,49
milk,1,1,1,1,True,0,0,0,1.000000000001e-06,1,1.1999999999984245e-05,True,47,47
milk,23,9,9,9,True,0,0,2,2.0000000000000486e-06,6,2.5999999999998247e-05,True,49,49
orange_juice,15,4,4,4,True,0,0,0,1.000000000001e-06,3,1.4999999999987246e-05,True,40,40
orange_juice,17,0,0,0,True,0,0,0,0.0,0,0.0,True,-1,-1
orange_juice,48,3,3,3,True,0,0,0,1.000000000001e-06,3,1.5000000000015001e-05,True,56,56
salad_dressing,12,3,3,3,True,0,0,0,3.9615058898927056e-09,0,0.0,True,55,55
salad_dressing,18,12,12,12,True,0,0,0,1.000000000001e-06,5,1.4000000000014001e-05,True,113,113
salad_dressing,19,3,3,3,True,0,0,0,1.0000000000001327e-06,2,2.000000000002e-06,True,52,52
salad_dressing,9,31,31,31,True,0,0,1,2.0000000000002655e-06,20,1.6999999999999654e-05,True,52,52
tomato_sauce,16,23,23,23,True,0,0,1,2.0000000000000486e-06,11,1.9999999999999185e-05,True,212,212
tomato_sauce,5,9,9,9,True,0,0,0,1.000000000001e-06,3,2.0000000000020002e-05,True,64,64
tomato_sauce,6,4,4,4,True,0,0,0,1.0000000000001327e-06,1,2.9999999999960614e-06,True,126,126
tomato_sauce,8,5,5,5,True,0,0,0,1.000000000001e-06,2,3.0000000000030003e-06,True,52,52
